memno,date,code,amount,
14,1999/12/24,A1,300,
14,2000/1/29,A1,300,
14,2000/2/29,A1,300,
14,2000/3/31,A1,300,
14,2000/4/29,A1,300,
14,2000/5/31,A1,300,
14,2000/6/30,A1,300,
14,2000/7/29,A1,300,
14,2000/7/31,C0,260.4,
14,2000/7/31,H0,25,
14,2000/8/31,A1,300,
14,2000/9/30,A1,300,
14,2000/10/31,A1,300,
14,2000/11/30,A1,300,
14,2000/12/23,A1,300,
14,2001/1/20,A1,300,
14,2001/2/28,A1,300,
14,2001/3/31,A1,300,
14,2001/4/28,A1,300,
14,2001/5/31,A1,300,
14,2001/6/30,A1,300,
14,2001/7/31,A1,300,
14,2001/5/8,C0,489.7,
14,2001/6/8,C1,-489.7,
14,2001/7/8,H0,25,
14,2001/8/8,H0,-25,
14,2001/8/31,A1,300,
14,2001/9/30,A1,300,
14,2001/10/31,A1,300,
14,2001/11/30,A1,300,
14,2001/12/22,A1,300,
14,2002/1/31,A1,300,
14,2002/2/28,A1,300,
14,2002/3/28,A1,300,
14,2002/4/30,A1,300,
14,2002/5/31,A1,300,
14,2002/6/29,A1,300,
14,2002/7/31,A1,300,
14,2002/8/31,A1,300,
14,2002/4/9,C3,589.1,
14,2002/6/9,C1,-589.1,
14,2002/6/9,H0,25,
14,2002/7/9,H0,-25,
14,2002/9/28,A1,300,
14,2002/10/31,A1,300,
14,2002/11/30,A1,300,
14,2002/12/24,A1,300,
14,2003/1/25,A1,300,
14,2003/2/28,A1,300,
14,2003/3/29,A1,300,
14,2003/4/30,A1,300,
14,2003/5/31,A1,300,
14,2003/6/28,A1,300,
14,2003/7/31,A1,300,
14,2003/8/25,H0,25,
14,2003/8/26,H0,-25,
14,2003/8/27,C3,769.07,
14,2003/8/28,C1,-769.07,
14,2003/8/30,A1,300,
14,2003/9/30,A1,300,
14,2003/10/31,A1,300,
14,2003/11/29,A1,300,
14,2003/12/24,A1,300,
14,2004/1/17,A1,300,
14,2004/2/28,A1,300,
14,2004/3/31,A1,300,
14,2004/4/30,A1,300,
14,2004/5/29,A1,300,
14,2004/6/30,A1,300,
14,2004/7/31,A1,300,
14,2004/8/31,A1,300,
14,2004/10/9,H0,25,
14,2004/11/9,H0,-25,
14,2004/12/9,C0,759.26,
14,2004/9/13,C1,-709.26,
14,2004/9/14,C0,-50,
14,2004/9/29,A1,300,
14,2004/10/30,A1,300,
14,2004/11/30,A1,300,
14,2004/12/24,A1,300,
14,2005/1/29,A1,300,
14,2005/2/26,A1,300,
14,2005/3/31,A1,300,
14,2005/4/30,A1,300,
14,2005/5/31,A1,300,
14,2005/6/30,A1,300,
14,2005/7/30,A1,300,
14,2005/12/8,H0,25,
14,2005/8/13,H0,-25,
14,2005/8/14,C0,903.26,
14,2005/8/15,C1,-903.26,
14,2005/8/31,A1,300,
14,2005/9/30,A1,300,
20,1997/1/31,A1,205,
20,1997/1/31,A2,795,
20,1997/11/2,A3,20000,
20,1997/2/28,A1,205,
20,1997/2/28,A2,835,
20,1997/3/27,A1,120,
20,1997/3/27,A2,780,
20,1997/4/30,A1,120,
20,1997/4/30,A2,820,
20,1997/5/31,A1,1600,
20,1997/5/31,A2,860,
20,1997/6/27,A1,1600,
20,1997/6/27,A2,900,
20,1997/6/30,C3,3562.48,
20,1997/6/30,H3,25,
20,1997/7/31,A1,1600,
20,1997/7/31,A2,940,
20,1997/8/30,A1,1600,
20,1997/8/30,A2,980,
20,1997/9/30,A1,1600,
20,1997/9/30,A2,1020,
20,1997/10/31,A1,1600,
20,1997/10/31,A2,1060,
20,1997/11/29,A2,1100,
20,1997/1/12,A3,2000,
20,1997/12/12,A3,600,
20,1997/12/24,A1,1600,
20,1997/12/24,A2,1160,
20,1998/1/24,A2,1260,
20,1998/9/2,A3,600,
20,1998/2/28,A1,1465,
20,1998/2/28,A2,85,
20,1998/3/31,A1,1465,
20,1998/3/31,A2,135,
20,1998/4/30,A1,1465,
20,1998/4/30,A2,185,
20,1998/5/29,A1,1465,
20,1998/5/29,A2,235,
20,1998/6/30,A1,1465,
20,1998/6/30,A2,285,
20,1998/7/20,C0,5944.72,
20,1998/7/20,H0,25,
20,1998/7/31,A1,1465,
20,1998/7/31,A2,335,
20,1998/8/29,A1,1465,
20,1998/8/29,A2,385,
20,1998/9/30,A1,600,
